"","C9","I9","C11","I11","C16","I16"
"LOC102551743",0,0,0,0,0,0
"MSTRG.1",0,0,0,0,0,0
"MSTRG.10",7.184709,4.063987,4.984054,5.724157,1.581657,3.96464
"MSTRG.100",4.516486,2.695654,2.747037,2.954312,3.566752,3.270768
"MSTRG.1000",17.6007,26.212414,25.423447,26.080704,24.946035,25.941334
"MSTRG.10000",49.409927,53.625519,57.711937,51.562325,45.616276,46.776001
"MSTRG.10001",9.129395,9.821452,6.502999,7.195256,9.929322,9.838973
"MSTRG.10002",0,0,0,0,0,0
"MSTRG.10003",0.135264,0,0,0.229099,0,0
"MSTRG.10004",1.162167,0.209264,0.776413,2.892389,1.823321,3.253088
"MSTRG.10005",0,0,0,0,0,0.024089
"MSTRG.10006",5.433485,6.02555,4.539703,4.658873,6.743782,7.320634
"MSTRG.10007",20.628864,22.689569,19.823847,21.929583,19.69516,22.337503
"MSTRG.10008",14.200539,16.286793,10.599118,12.575506,16.733749,17.971313
"MSTRG.10009",2.113691,2.765849,2.438801,2.567863,1.908981,1.52754
"MSTRG.1001",8.692184,12.068165,13.201076,12.864755,14.321117,15.202474
"MSTRG.10010",10.850897,12.741441,10.299665,11.166908,10.701758,10.664474
"MSTRG.10011",0,0,0,0,0,0
"MSTRG.10012",0,0.104295,0,0.025639,0.188959,0.094236
"MSTRG.10013",0.198499,0.109557,0.066878,0.033827,0.088481,0.250551
"MSTRG.10014",7.237457,7.056231,7.292742,10.287251,8.62805,11.606437
"MSTRG.10015",17.411772,22.739806,19.182774,20.692057,15.108752,15.972153
"MSTRG.10016",10.000741,10.279258,9.662514,10.56566,11.880514,7.116707
"MSTRG.10017",0.842564,0,0,0.506409,0.676234,0
"MSTRG.10018",38.936357,38.694545,37.525353,42.801042,39.197283,44.344294
"MSTRG.10019",0,0,0,0,0,0
"MSTRG.1002",4.155085,6.232333,5.407198,5.816691,4.393008,5.039576
"MSTRG.10020",1.842023,2.36939,2.284005,2.642913,0.758772,1.133509
"MSTRG.10021",0,0,0,0,0,0.018533
"MSTRG.10022",0,0,0,0,0,0
"MSTRG.10023",3.922328,4.461287,3.50564,3.268708,3.20543,3.549116
"MSTRG.10024",22.836343,24.273377,22.779425,24.716026,27.416451,26.216961
"MSTRG.10025",0,0,0,0,0,0
"MSTRG.10026",0,0,0,0,0,0
"MSTRG.10027",1.694617,1.813308,1.703162,2.021725,3.832277,3.475223
"MSTRG.10028",0,0,0,0,0,0.015306
"MSTRG.10029",0,0.027585,0.020835,0.031037,0,0
"MSTRG.1003",0,0.101692,0,0,0,0
"MSTRG.10030",0.001939,0,0.000887,0,0,0
"MSTRG.10031",0.015223,0.013454,0.010584,0.003783,0.015883,0.02514
"MSTRG.10032",0.001118,0.003164,0,0.004245,0.001222,0
"MSTRG.10033",0.039564,0.033337,0.01308,0.008707,0.010387,0.010093
"MSTRG.10034",9.539953,11.911747,6.964844,8.619984,6.344215,8.025346
"MSTRG.10035",0.138515,0.087885,0.055859,0.026701,0.216143,0.106983
"MSTRG.10036",0.007309,0.005845,0.001816,0.001915,0,0.00089
"MSTRG.10037",0.011718,0,0,0.002476,0,0
"MSTRG.10038",0.003092,0.004353,0.000784,0,0,0
"MSTRG.10039",0.010043,0.019789,0.012653,0.002659,0.01304,0.024465
"MSTRG.1004",8.017534,9.06849,6.933699,8.018803,4.913784,5.322776
"MSTRG.10040",0.037406,0.037223,0.016595,0.004594,0.003672,0.013097
"MSTRG.10041",0.034187,0.020804,0.013869,0.004282,0.000527,0.005284
"MSTRG.10042",0.032513,0.023529,0.021466,0.014675,0.017616,0.007608
"MSTRG.10043",0.023506,0.016875,0.012006,0.008396,0.012002,0.01538
"MSTRG.10044",0.152887,0.020594,0.005077,0,0.000644,0
"MSTRG.10045",0.07236,0.015809,0.020282,0.007387,0.066454,0.011205
"MSTRG.10046",0,0.124864,0.048817,0,0,0.126316
"MSTRG.10047",0.000762,0.016423,0.009477,0.009048,0.029822,0.001183
"MSTRG.10048",0.008891,0.037596,0.00527,0,0,0.012161
"MSTRG.10049",0,0.032181,0,0,0,0.010171
"MSTRG.1005",32.843062,40.409711,29.669208,30.36337,27.624761,28.73719
"MSTRG.10050",2.766138,3.31436,3.219744,3.786477,1.834494,1.834778
"MSTRG.10051",0,0,0,0,0,0
"MSTRG.10052",0,0,0,0,0,0
"MSTRG.10053",0,0,0,0,0,0
"MSTRG.10054",0,0,0,0,0,0
"MSTRG.10055",0,0.005737,0.011697,0.014272,0.026462,0.03743
"MSTRG.10056",2.22202,2.237727,1.764859,2.423676,4.04023,5.667432
"MSTRG.10057",0,0,0,0,0,0
"MSTRG.10058",0,0,0,0,0,0
"MSTRG.10059",0,0.030934,0,0.009795,0,0.026073
"MSTRG.1006",106.773888,134.234848,132.676514,137.161072,85.770958,82.941399
"MSTRG.10060",0.128025,0.155501,0.108478,0.102908,0.117758,0.24599
"MSTRG.10061",0,0,0,0,0,0
"MSTRG.10062",21.338692,21.021605,22.773649,23.304831,14.257343,12.577387
"MSTRG.10063",0.14841,0.213387,0.113209,0.062231,0.308789,0.109127
"MSTRG.10064",55.484924,58.82975,53.724796,56.144714,47.153141,48.505604
"MSTRG.10065",52.90295,59.244606,67.772713,64.897156,69.897301,66.952179
"MSTRG.10066",12.236941,12.658469,8.90422,9.963115,13.799423,12.50461
"MSTRG.10067",0.87348,0.569539,0.395091,0.757541,1.320923,0.878014
"MSTRG.10068",0,0,0,0,0,0
"MSTRG.10069",0,0,0,0,0,0
"MSTRG.1007",5.139148,5.018215,5.261338,7.257639,6.892378,6.856437
"MSTRG.10070",0,0,0,0,0,0
"MSTRG.10071",0.203772,0.219691,0.046981,0.15718,0.143236,0.171779
"MSTRG.10072",0.56098,0.541037,0.590427,0.897746,0.522502,1.075205
"MSTRG.10073",6.375683,7.112604,5.295569,5.705228,6.535358,6.446532
"MSTRG.10074",0,0,0,0,0,0
"MSTRG.10075",0,0,0.057299,0,0,0
"MSTRG.10076",0.255786,0.053178,0.305308,0.565753,0.185211,0
"MSTRG.10077",0.905984,0.933997,0.304425,0.94719,0.864918,0.758536
"MSTRG.10078",0.050619,0.14434,0.17219,0,0.04721,0.202108
"MSTRG.10079",19.489072,21.227463,17.999612,19.182799,21.689347,24.546859
"MSTRG.1008",18.11018,25.234484,23.442927,25.682032,24.28927,25.228768
"MSTRG.10080",4.742859,5.637197,3.937536,4.124195,9.196849,9.576683
"MSTRG.10081",5.456695,6.810905,5.400671,5.767787,4.932078,4.813116
"MSTRG.10082",0.757551,1.110775,0.698992,0.73591,0.265557,0.929337
"MSTRG.10083",2.950671,3.356319,2.521677,2.498229,2.769717,3.130247
"MSTRG.10084",0,0,0,0,0,0.049127
"MSTRG.10085",7.448602,8.544941,6.443384,6.614906,9.918042,11.607067
"MSTRG.10086",0,0,0,0,0,0.070412
"MSTRG.10087",0.051972,0,0,0,0,0
"MSTRG.10088",0,0,0,0,0,0
"MSTRG.10089",0,0,0,0,0.013405,0
"MSTRG.1009",0.067856,0,0,0.018984,0.083879,0
"MSTRG.10090",22.046644,21.621689,17.6172,22.115887,20.287489,21.275933
"MSTRG.10091",0,0,0,0.041938,0,0
"MSTRG.10092",13.312958,13.636361,12.826544,13.871748,11.464889,12.16505
"MSTRG.10093",0,0.05959,0.017764,0.11988,0.055767,0.092733
"MSTRG.10094",0,0,0,0,0,0
"MSTRG.10095",0.846528,0.903917,1.822414,1.196759,1.227958,1.110125
"MSTRG.10096",12.444789,13.423131,9.266565,11.275301,8.949766,10.344888
"MSTRG.10097",0,0,0.028286,0,0,0.119568
"MSTRG.10098",45.178038,47.238658,48.39927,48.444822,42.251392,44.244157
"MSTRG.10099",1.183753,1.106738,0.589369,1.441416,1.506956,1.921509
"MSTRG.101",0.15363,0.287584,0.066302,0.177631,0.03572,0.057355
"MSTRG.1010",0,0,0,0,0,0.096427
"MSTRG.10100",0.040038,0,0,0,0,0
"MSTRG.10101",0,0,0,0,0,0
"MSTRG.10102",0,0,0,0,0,0
"MSTRG.10103",0,0,0,0,0,0
"MSTRG.10104",17.854077,18.776388,12.539542,13.556688,35.959635,35.882457
"MSTRG.10105",3.156988,2.74356,1.125665,1.750608,6.962177,5.72429
"MSTRG.10106",0,0,0,0,0,0
"MSTRG.10107",0,0,0,0,0,0
"MSTRG.10108",0,0,0,0,0,0
"MSTRG.10109",0,0,0,0,0.005719,0
"MSTRG.1011",11.578681,15.957619,14.068345,14.821434,12.315716,13.603988
"MSTRG.10110",1.86263,1.834603,1.355843,1.827876,1.928723,2.096924
"MSTRG.10111",0.654199,0.865002,1.109254,0.562223,0.813426,0.772707
"MSTRG.10112",52.164314,59.262436,61.242652,65.003189,62.673191,65.117722
"MSTRG.10113",0,0,0,0,0,0
"MSTRG.10114",0,0,0,0,0,0
"MSTRG.10115",1.556128,1.739574,1.658663,1.927503,1.570791,1.514345
"MSTRG.10116",36.745491,35.99363,37.063986,40.719839,27.478629,25.035036
"MSTRG.10117",9.110794,9.824203,8.969553,11.101269,11.248946,12.524365
"MSTRG.10118",4.387225,4.942545,4.03344,4.647438,4.819676,4.551317
"MSTRG.10119",12.993525,13.305323,19.970367,18.970277,27.759491,27.238798
"MSTRG.1012",18.454112,23.864551,22.928058,24.572272,22.071861,29.202435
"MSTRG.10120",0,0,0,0,0,0
"MSTRG.10121",0,0,0,0,0,0
"MSTRG.10122",47.414232,52.109712,50.973843,55.157566,44.425592,43.962216
"MSTRG.10123",0.523934,0.680226,0.523078,1.196557,1.789222,1.587025
"MSTRG.10124",0,0,0,0,0,0
"MSTRG.10125",0.044212,0.087574,0.069757,0.164224,0.272232,0.356913
"MSTRG.10126",0.18007,0.119036,0.102505,0.181944,0.110039,0.239443
"MSTRG.10127",0.509501,0.498234,0.49835,0.700511,0.668682,0.592728
"MSTRG.10128",0.171864,0,0.083326,0.11183,0.243826,0
"MSTRG.10129",0.85894,1.352689,1.034138,1.357466,1.478023,2.258535
"MSTRG.1013",61.893804,72.938405,80.822859,87.406084,101.496217,150.826561
"MSTRG.10130",20.579286,27.400416,25.9613,25.365667,31.692872,31.2368
"MSTRG.10131",70.658012,99.697784,70.445038,71.825706,79.113708,78.100502
"MSTRG.10132",35.807474,53.449391,31.247804,37.039671,35.829996,38.762491
"MSTRG.10133",15.336867,18.05599,17.350143,17.072609,19.905355,19.82345
"MSTRG.10134",0.076802,0,0,0,0,0
"MSTRG.10135",13.047468,19.172698,11.17365,11.684963,17.725834,19.313924
"MSTRG.10136",432.45575,470.603607,428.356079,433.713745,372.459656,387.546112
"MSTRG.10137",37.561962,53.355354,49.328522,49.118271,41.963051,43.594341
"MSTRG.10138",0,0.013447,0,0.004965,0,0.01553
"MSTRG.10139",13.9003,15.618203,17.02467,17.679081,13.77002,13.164261
"MSTRG.1014",3.215366,4.061414,3.217241,2.532417,1.406202,1.499635
"MSTRG.10140",5.942729,0,0,0,13.479078,0
"MSTRG.10141",0.120709,0.175275,0.09242,0.171677,0.187769,0.15888
"MSTRG.10142",0.333784,0.375358,0.327576,0.59937,0.252957,0.543788
"MSTRG.10143",43.319106,51.518374,37.063128,36.30679,43.020233,46.590106
"MSTRG.10144",13.931623,14.979932,9.922375,12.78229,15.972143,14.644345
"MSTRG.10145",16.71177,26.566656,20.8735,21.354689,20.020242,21.884922
"MSTRG.10146",76.428475,84.073482,87.646561,82.411215,58.453283,61.794313
"MSTRG.10147",7.146044,9.515563,8.956678,9.83374,19.717794,21.20804
"MSTRG.10148",0,0,0,0,0.026314,0.049249
"MSTRG.10149",2.21983,2.478973,2.467088,3.292028,2.957821,2.993171
"MSTRG.1015",1.195199,1.732369,3.171188,4.161475,2.624267,3.527402
"MSTRG.10150",1.651858,1.976254,0.854418,1.59678,1.697232,1.908002
"MSTRG.10151",6.638551,9.079317,10.280437,15.001174,7.246499,10.389553
"MSTRG.10152",1.714469,2.818495,1.471788,1.796288,0.642392,0.527295
"MSTRG.10153",3.330215,4.552609,3.079797,3.940224,5.959596,4.29471
"MSTRG.10154",0.049489,0.108347,0,0.061911,0.246308,0.084839
"MSTRG.10155",1.603419,2.806931,2.203787,2.159952,2.08802,1.925539
"MSTRG.10156",6.46489,7.769247,6.837906,9.720642,3.881226,4.082801
"MSTRG.10157",3.79426,4.31247,3.816553,4.285945,2.06656,2.639489
"MSTRG.10158",0.229455,0.338726,0.121046,0.232319,0.231677,0.315697
"MSTRG.10159",0.982219,1.289236,1.054309,0.759143,1.789307,1.562534
"MSTRG.1016",15.099832,19.053363,17.219296,16.393049,11.072443,11.425949
"MSTRG.10160",0,0,0,0.033701,0,0
"MSTRG.10161",0.464095,0.293928,0.467681,0.807467,0.440516,0.49958
"MSTRG.10162",0,0,0,0,0.059323,0.143718
"MSTRG.10163",0,0,0,0,0,0
"MSTRG.10164",37.815386,43.250754,40.223161,39.412218,28.416978,29.846488
"MSTRG.10165",0.038517,0.057083,0.053241,0.018111,0.038169,0.041039
"MSTRG.10166",66.399562,81.97229,76.720599,76.102672,44.577545,45.494295
"MSTRG.10167",1.246544,1.199668,1.147997,1.147219,1.879755,2.457971
"MSTRG.10168",0,0,0,0,0,0
"MSTRG.10169",58.422146,70.087392,54.562717,56.525604,41.98304,42.846094
"MSTRG.1017",30.269487,40.143216,32.307467,32.770014,37.973833,38.66813
"MSTRG.10170",0,0,0.037504,0.021568,0.092384,0.063452
"MSTRG.10171",7.06158,8.419287,5.893566,7.031062,7.525793,7.011441
"MSTRG.10172",1.934873,1.649767,1.219535,1.361143,1.719476,2.482446
"MSTRG.10173",14.47412,15.339172,17.217785,19.136473,16.438396,16.417974
"MSTRG.10174",5.780252,8.406411,6.698601,8.079265,9.065684,9.071817
"MSTRG.10175",6.009079,6.62448,6.672374,7.484597,4.213674,4.27322
"MSTRG.10176",66.533735,91.88506,75.745281,77.852461,67.545856,76.941867
"MSTRG.10177",1.908126,0.82174,1.589552,1.807358,0.704247,1.109347
"MSTRG.10178",52.44139,57.828578,51.317534,54.016062,52.093142,56.173214
"MSTRG.10179",0.09063,0.025955,0.033419,0.03003,0,0.024724
"MSTRG.1018",0,0,0,0,0,0
"MSTRG.10180",0.271284,0.219364,0.091085,0.46056,0,0.117496
"MSTRG.10181",0.076089,0.183572,0.023628,0.088847,0,0.043732
"MSTRG.10182",46.569213,56.728048,40.881618,42.656382,43.195986,46.024453
"MSTRG.10183",4.432481,4.54853,2.233084,2.91873,2.546327,3.916236
"MSTRG.10184",0.208656,0.250087,0.295682,0.231752,0.175789,0.180977
"MSTRG.10185",2.010479,2.341047,1.768357,2.299912,1.743292,1.937784
"MSTRG.10186",1.747563,2.450515,1.92812,2.421593,2.250364,2.596934
"MSTRG.10187",32.809238,42.908366,32.291269,34.428505,22.652493,22.162314
"MSTRG.10188",2.397598,1.748975,2.393134,1.843003,1.050574,1.550063
"MSTRG.10189",27.619892,36.032055,35.743137,35.806297,31.337313,34.072014
"MSTRG.1019",0,0,0,0,0,0
"MSTRG.10190",13.898821,17.134392,11.671421,13.504276,14.124193,17.253571
"MSTRG.10191",1.401479,1.631224,0.85172,1.604489,1.713621,2.206072
"MSTRG.10192",12.868741,13.526296,13.560315,14.956824,12.436641,13.543164
"MSTRG.10193",2.830811,2.961649,2.753807,3.636589,1.610276,2.37493
"MSTRG.10194",23.612267,27.00202,22.422018,25.730007,20.208656,20.389595
"MSTRG.10195",0.033287,0,0,0,0,0
"MSTRG.10196",6.544255,8.076832,7.596722,8.592449,6.483787,7.621679
"MSTRG.10197",0,0,0,0,0.018309,0
"MSTRG.10198",0,0,0,0,0,0
"MSTRG.10199",46.159016,56.127983,56.558392,60.817326,41.734573,44.421455
"MSTRG.102",2050.853699,883.849335,673.721222,585.533554,865.368927,1013.521759
"MSTRG.1020",10.757959,12.530079,11.055198,12.517931,12.658349,12.749404
"MSTRG.10200",2.193745,2.306903,1.746531,2.492865,2.137636,2.641204
"MSTRG.10201",3.588223,2.675333,3.261859,3.280912,7.674923,8.650345
"MSTRG.10202",68.396748,88.066875,77.047828,83.605891,79.746643,81.592808
"MSTRG.10203",0,0,0,0,0,0
"MSTRG.10204",0.914882,1.043229,0.76069,0.711756,2.003232,2.03105
"MSTRG.10205",64.411552,71.231407,80.194809,87.833885,86.91571,86.059151
"MSTRG.10206",0.334419,0.460533,0.28565,0.131691,0,0
"MSTRG.10207",6.267073,7.891008,6.45499,7.021798,7.224717,7.118641
"MSTRG.10208",7.4419,9.028233,5.783375,6.860801,8.957314,9.027013
"MSTRG.10209",5.340779,8.370597,7.196967,7.496323,6.40302,6.690949
"MSTRG.1021",0.714744,0.356495,0.409352,0.234789,0.306249,0.45349
"MSTRG.10210",18.181788,21.85489,17.119548,21.220557,16.605535,15.985139
"MSTRG.10211",11.610661,15.996918,11.195936,13.029524,5.934964,5.584899
"MSTRG.10212",4.313255,5.426412,4.292231,5.117008,4.807019,5.702005
"MSTRG.10213",33.266167,34.432716,35.703819,35.778149,27.427965,31.160885
"MSTRG.10214",26.333441,34.492502,29.417624,32.554834,24.642926,23.730087
"MSTRG.10215",0,0,0,0,0,0
"MSTRG.10216",0.03156,0,0,0,0.116243,0.069568
"MSTRG.10217",1.621461,2.323716,1.864495,2.035109,2.296998,2.528089
"MSTRG.10218",6.040329,7.2851,6.276828,6.721298,6.412962,8.059764
"MSTRG.10219",3.618668,5.603384,4.623508,4.549423,6.404261,7.035671
"MSTRG.1022",0.502224,0.253695,0.328885,0,0.13155,0.210925
"MSTRG.10220",0,0,0,0,0,0
"MSTRG.10221",280.314514,319.69104,267.243591,266.86438,219.232315,213.108017
"MSTRG.10222",3.108204,3.869756,4.54464,6.383295,7.028633,7.969216
"MSTRG.10223",18.642033,22.162905,14.297975,16.067601,21.468383,23.93098
"MSTRG.10224",15.281313,19.69219,17.106068,18.136225,14.145989,16.090681
"MSTRG.10225",3.954471,3.82715,3.143461,4.44072,4.695096,3.776678
"MSTRG.10226",0.886721,1.323655,0.973786,0.831571,3.204175,2.961851
"MSTRG.10227",0,0,0,0,0,0
"MSTRG.10228",0,0,0,0,0,0
"MSTRG.10229",0.175487,0.148394,0.105329,0.191925,0.097991,0.120195
"MSTRG.1023",0.219477,0.268591,0.098904,0.225063,0.371984,0.593561
"MSTRG.10230",4.276798,4.937163,3.839298,4.782531,4.705635,5.906012
"MSTRG.10231",6.951691,7.764581,8.466088,7.732994,7.371559,8.367514
"MSTRG.10232",37.144791,42.639488,42.580772,47.828568,28.252205,28.65243
"MSTRG.10233",88.559923,91.968506,67.413684,74.369477,67.61152,72.039746
"MSTRG.10234",6.768664,7.411512,5.402687,6.098502,5.328053,6.145542
"MSTRG.10235",6.843413,6.202448,8.070333,8.58035,4.745978,4.025518
"MSTRG.10236",0.328394,0.514759,0.409213,0.668992,0.416078,0.229778
"MSTRG.10237",0.295564,0.09203,0.601292,0.348096,0.687946,0.118758
"MSTRG.10238",1.492746,1.32365,1.118183,1.328151,0.239891,0.77214
"MSTRG.10239",2.099179,2.466676,1.887886,2.595464,1.361987,1.571172
"MSTRG.1024",31.384514,43.212849,44.987544,47.860429,48.219153,54.314589
"MSTRG.10240",15.359445,21.234169,20.240866,21.417459,18.365725,22.901745
"MSTRG.10241",10.78187,12.830121,12.31758,12.657811,8.847021,9.571001
"MSTRG.10242",1.654307,1.540401,1.473972,1.341089,1.698041,2.150497
"MSTRG.10243",12.411125,16.739454,16.272806,17.664398,16.26288,16.956358
"MSTRG.10244",1.172821,1.318882,1.740789,1.86128,1.338922,1.250118
"MSTRG.10245",0.281297,0.154654,0.099878,0.332532,0.073192,0.172035
"MSTRG.10246",3.387008,2.760502,3.450962,4.842316,1.648491,1.99332
"MSTRG.10247",0.103738,0.473598,0.406162,0.590119,0.286795,0.391207
"MSTRG.10248",10.845034,13.629429,13.687536,14.641454,10.765581,12.531434
"MSTRG.10249",24.823403,32.780171,22.030394,24.293516,28.007621,29.861107
"MSTRG.1025",14.982564,14.693842,18.370707,19.603435,12.863441,14.636857
"MSTRG.10250",115.437771,103.649658,113.92437,118.945728,77.418747,79.666954
"MSTRG.10251",14.617913,16.984806,15.121883,14.853176,2.181806,8.031162
"MSTRG.10252",32.407593,45.130226,29.661737,32.11338,14.266261,14.735983
"MSTRG.10253",26.155088,35.745098,27.053245,29.577072,23.548459,27.899277
"MSTRG.10254",31.301628,37.028899,32.348243,35.000905,22.088256,24.996825
"MSTRG.10255",25.01063,29.119999,26.858536,28.975067,18.276672,17.272366
"MSTRG.10256",12.214221,17.331032,17.666235,18.226366,15.253322,17.445562
"MSTRG.10257",2.24511,2.651197,2.901464,2.698322,3.269221,3.668172
"MSTRG.10258",9.889287,11.811881,13.507976,14.719949,15.855398,16.117792
"MSTRG.10259",31.205245,39.341704,36.873035,39.576207,36.940342,36.518243
"MSTRG.1026",3.490688,4.163835,3.524303,5.15984,3.438062,2.992523
"MSTRG.10260",0.034516,0,0,0,0.025918,0.026064
"MSTRG.10261",6.16107,9.152215,6.05759,7.910605,16.108337,19.131335
"MSTRG.10262",0,0,0,0,0,0
"MSTRG.10263",2.281421,2.90396,2.034557,2.327378,2.657326,2.610171
"MSTRG.10264",2.956516,3.610412,1.412801,2.159911,3.506187,3.716001
"MSTRG.10265",0,0,0.07967,0.119835,0.112744,0.113618
"MSTRG.10266",0,0,0,0,0,0
"MSTRG.10267",44.530579,49.261572,41.780849,40.634536,34.667871,38.562368
"MSTRG.10268",24.74736,29.161076,31.607976,29.363186,25.183047,26.411232
"MSTRG.10269",0,0.18611,0.382397,0.34753,0.179202,0.16647
"MSTRG.1027",2.668947,4.061028,4.156362,4.636055,4.637458,5.691266
"MSTRG.10270",110.388283,117.51766,104.691735,106.082365,100.481969,103.827066
"MSTRG.10271",8.433547,10.060069,7.250196,10.045285,10.802501,10.588606
"MSTRG.10272",46.539123,45.201357,35.467255,38.069497,25.28465,27.35338
"MSTRG.10273",0.05272,0.03045,0,0.050817,0,0
"MSTRG.10274",0.091751,0,0,0,0,0
"MSTRG.10275",22.933967,28.262647,25.079412,26.833894,23.671883,24.646663
"MSTRG.10276",4.09379,4.393775,2.258634,3.469633,5.696388,6.897254
"MSTRG.10277",37.749469,45.59803,44.550371,44.97562,35.041768,35.977121
"MSTRG.10278",2.723192,3.200194,3.63357,3.540911,1.831651,2.3531
"MSTRG.10279",0,0,0,0,0,0
"MSTRG.1028",0,0,0,0.027929,0,0.098235
"MSTRG.10280",20.007963,27.855947,25.449703,30.789623,31.985717,38.871618
"MSTRG.10281",3.69552,3.680516,5.21066,4.745837,2.510645,2.572591
"MSTRG.10282",1.471002,1.486426,2.203002,1.680546,0.585358,1.380252
"MSTRG.10283",24.536703,30.265478,19.616299,22.835983,26.295408,24.169081
"MSTRG.10284",15.740005,18.16887,14.942769,16.119272,23.490414,22.916457
"MSTRG.10285",65.620372,75.097343,69.537386,77.437817,63.301575,55.141536
"MSTRG.10286",57.314041,80.003415,63.121317,64.862251,88.334419,95.038833
"MSTRG.10287",1.72696,2.146381,0.708455,0.848925,2.021425,2.399324
"MSTRG.10288",657.394612,687.094029,742.743987,747.340656,545.671921,541.221302
"MSTRG.10289",11.352528,10.390247,11.851963,12.772435,11.950458,14.43481
"MSTRG.1029",11.484191,13.878552,11.580807,11.629247,9.298142,9.620582
"MSTRG.10290",0,0,0,0,0,0
"MSTRG.10291",0.056238,0,0,0,0.08895,0.02125
"MSTRG.10292",19.510172,24.556859,23.266094,19.460394,9.854943,11.712045
"MSTRG.10293",13.087472,21.530793,18.861589,18.963616,10.895671,11.493713
"MSTRG.10294",0,0,0,0.020683,0.02684,0.070762
"MSTRG.10295",9.633099,11.864406,18.465916,13.777133,10.534625,9.646597
"MSTRG.10296",64.861195,72.665375,60.574479,60.938973,62.622762,61.135452
"MSTRG.10297",40.88509,58.362692,48.739371,53.911497,56.802289,58.021145
"MSTRG.10298",17.243774,25.322732,21.925134,23.29365,12.497032,14.568469
"MSTRG.10299",0.417233,0.289035,0.30996,0.337243,0.344088,0.159659
"MSTRG.103",3303.869385,1441.38147,1161.768311,959.080811,2049.200684,2292.053711
"MSTRG.1030",1.131399,0.90418,1.0823,1.275916,2.040868,2.123896
"MSTRG.10300",2.63881,2.996324,2.466016,3.714131,0.810291,0.602097
"MSTRG.10301",1.277464,0.979488,2.058309,1.958448,2.351233,1.995028
"MSTRG.10302",29.282398,28.733095,26.37226,25.711426,10.72208,11.325972
"MSTRG.10303",9.060752,11.858015,22.70405,14.149929,18.337248,12.324434
"MSTRG.10304",1.355088,2.233039,1.073737,1.133192,0.221332,0.511081
"MSTRG.10305",14.76123,17.869704,16.837708,18.028719,13.305002,12.78819
"MSTRG.10306",0,0.05454,0,0,0,0
"MSTRG.10307",0,0,0,0,0,0
"MSTRG.10308",0,0,0,0,0,0
"MSTRG.10309",4.853686,4.829466,5.378864,5.243214,4.309394,4.769347
"MSTRG.1031",6.726903,10.035893,9.213562,8.834368,10.912257,10.991852
"MSTRG.10310",14.517801,14.566446,11.115785,13.802605,13.145488,16.524643
"MSTRG.10311",0.066471,0,0,0,0,0
"MSTRG.10312",0.95684,0.883857,1.222445,1.427499,0.833791,0.891753
"MSTRG.10313",0,0,0,0,0,0
"MSTRG.10314",0,0,0,0,0,0
"MSTRG.10315",5.658743,7.868948,2.766693,2.971049,3.785735,3.888255
"MSTRG.10316",0.059943,0.025332,0.0474,0,0.04545,0.048979
"MSTRG.10317",0.008908,0.029717,0.02117,0.010031,0,0.012732
"MSTRG.10318",0.076276,0.059112,0.031305,0.064362,0.048329,0.102332
"MSTRG.10319",0,0,0,0,0,0
"MSTRG.1032",0.566148,0.643275,0.9986,1.329619,1.344942,2.01057
"MSTRG.10320",0,0,0,0,0,0
"MSTRG.10321",55.970524,52.521424,46.155151,49.200763,42.34366,47.290645
"MSTRG.10322",0,0,0,0,0,0
"MSTRG.10323",0.413154,0.216321,0.358717,0.270022,0.375778,0.287872
"MSTRG.10324",0,0,0,0,0,0
"MSTRG.10325",0.01368,0.028627,0.008452,0.029654,0,0.013929
"MSTRG.10326",9.072256,9.981119,7.482098,8.198791,4.260868,5.718025
"MSTRG.10327",48.181372,59.103484,47.634122,57.447557,74.758435,70.143955
"MSTRG.10328",3.074592,1.985395,3.333454,5.864376,5.678995,6.84845
"MSTRG.10329",4.315186,5.487035,5.67755,4.468439,1.341858,0.700578
"MSTRG.1033",10.449968,12.39805,11.359048,11.477349,8.760899,9.477759
"MSTRG.10330",0,0,0,0.046786,0,0
"MSTRG.10331",0.062464,0.204695,0,0,0,0
"MSTRG.10332",0,0,0,0,0,0
"MSTRG.10333",0,0,0,0,0,0
"MSTRG.10334",0.025387,0,0.02207,0.053584,0.103227,0.093293
"MSTRG.10335",3.009507,2.962654,2.478435,2.950842,2.259127,2.696976
"MSTRG.10336",0.227931,0.28829,0.625464,0.430614,0.908376,0.88708
"MSTRG.10337",0,0,0,0,0,0
"MSTRG.10338",0.15089,0.144983,0.178965,0.341182,0.167528,0.294268
"MSTRG.10339",0.106675,0,0.129691,0.100853,0,0.013688
"MSTRG.1034",42.050661,50.966276,39.024501,37.412634,30.281945,29.208423
"MSTRG.10340",0.160813,0.130078,0.062901,0.378544,0.200489,0.051294
"MSTRG.10341",0.263605,0.251381,0.102262,0.177788,0.110781,0.142543
"MSTRG.10342",38.139392,46.257127,27.032508,26.9901,56.518489,59.326529
"MSTRG.10343",0.634426,0.150962,0.036751,0.146435,0.072662,0.184763
"MSTRG.10344",4.287104,4.216369,3.550247,4.560536,3.945465,6.137295
"MSTRG.10345",0,0,0,0,0,0
"MSTRG.10346",27.295687,33.536312,34.926495,36.565636,26.893541,27.441132
"MSTRG.10347",0,0,0,0,0,0
"MSTRG.10348",0,0,0,0,0,0
"MSTRG.10349",0,0,0,0,0,0
"MSTRG.1035",0.093631,0.068517,0.069218,0.052076,0.270708,0.25885
