"","C9","I9","C11","I11","C16","I16"
"MSTRG.17098",0,0,0,0,0,0
"MSTRG.17099",0,0,0,0,0,0
"MSTRG.171",0.299618,0.268272,0.248248,0.103661,0.309523,0.161155
"MSTRG.1710",1.978716,1.556394,0.668085,1.254345,1.75145,1.947706
"MSTRG.17100",7.723995,6.146222,6.580797,9.450621,6.897369,7.096101
"MSTRG.17101",0,0,0,0,0,0
"MSTRG.17102",0,0,0,0,0,0
"MSTRG.17103",0,0,0,0,0,0
"MSTRG.17104",0,0,0,0,0,0
"MSTRG.17105",0,0.035911,0,0,0,0
"MSTRG.17106",0.035812,0.036573,0.021736,0.052944,0.177769,0.104464
"MSTRG.17107",0.018165,0.02591,0.007653,0.002118,0.006008,0.00924
"MSTRG.17108",0,0,0,0,0,0
"MSTRG.17109",0,0,0,0,0,0
"MSTRG.1711",0,0,0,0,0,0
"MSTRG.17110",0.04365,0,0,0.068383,0.104488,0.099187
"MSTRG.17111",0.004979,0,0,0.006722,0,0
"MSTRG.17112",0.013345,0,0,0,0,0
"MSTRG.17113",0,0,0,0,0,0
"MSTRG.17114",8.275572,9.024506,7.400407,7.626302,6.608384,8.196299
