,gene_id,TPM_C9,TPM_I9,TPM_C11,TPM_I11,TPM_C16,TPM_I16,TPM_Islet24h_1,TPM_Islet24h_2,TPM_Islet24h_3,TPM_Liver_1,TPM_Liver_2,TPM_Liver_3,TPM_Brain_1,TPM_Brain_2,TPM_Brain_3
26665,MSTRG.4608,2.087653,2.848423,0.952852,0.952018,1.7958619999999998,1.810371,0.255145,0.678312,0.31550100000000003,1.7977610000000002,1.663484,1.999511,14.7957,12.14434,15.293948
26667,MSTRG.461,1.604488,2.103355,1.095158,1.172136,0.692778,1.403748,0.708806,0.652695,0.284669,0.017516999999999998,0.033313,0.009746,2.8072239999999997,5.617648,1.619136
26670,MSTRG.4612,0.032497000000000005,0.047147,0.006542,0.012436,0.026476999999999997,0.017786,0.004818,0.0,0.0,0.822433,0.370297,0.355523,3.3406580000000003,7.393296,1.326699
26671,MSTRG.4613,0.19358499999999998,0.517971,0.435541,0.384889,0.049825,0.191923,0.010113,0.077214,0.011362,0.8936950000000001,0.511814,0.345275,2.8428970000000002,6.9734110000000005,1.425231
26672,MSTRG.4614,0.057489,0.04216,0.027093,0.020684,0.010169,0.016036,0.000524,0.001051,0.001241,0.8508120000000001,0.47148500000000004,0.502842,3.470419,7.11569,1.595086
26673,MSTRG.4615,0.062019000000000005,0.040871,0.021273,0.028657,0.015092,0.011505,0.004408,0.002105,0.001462,0.901523,0.5265569999999999,0.49394399999999994,3.9391849999999997,8.059784,1.871916
26674,MSTRG.4616,0.0,0.002097,0.0,0.005753,0.0,0.0,0.0,0.000801,0.000618,0.0,0.0017329999999999997,0.0,3.168643,6.163069,1.477112
26678,MSTRG.462,29.678949,38.335266,21.249741,27.053596000000002,43.372257,43.908623,7.55343,14.201116,8.467325,13.945031,13.784907999999998,12.416946000000001,11.690692,11.011503,19.083971
26680,MSTRG.4621,0.0,0.0,0.0,0.026831,0.0,0.0,0.019122,0.0,0.0,0.0,0.03059,0.0,5.555635,5.466532,4.993030999999999
26682,MSTRG.4623,2.214384,2.2864139999999997,1.7085299999999999,1.779593,2.433068,2.014997,1.65472,1.521392,1.336099,1.221701,1.051627,1.028893,1.073009,1.3531739999999999,1.284885
26685,MSTRG.4626,32.871673,34.731342,31.213428999999998,32.983505,26.331584000000003,26.77378,20.403632,29.020540000000004,18.35669,19.912630999999998,22.27159,19.814157,55.053458,66.631971,82.23826399999999
26686,MSTRG.4627,1.589349,0.831092,1.321895,1.17432,1.3747120000000002,1.06134,1.014566,1.185169,0.88776,0.668461,0.24540700000000001,0.17522000000000001,1.234736,2.086415,2.589093
26687,MSTRG.4628,14.130258,13.753989,15.119366000000001,16.052639000000003,10.835585,11.353519,7.114653,9.066078,5.050797,9.759438000000001,9.123216000000001,10.829609,4.760597,8.822359,8.691499
26688,MSTRG.4629,139.67456,148.486196,123.817051,128.41283,194.131466,204.509278,65.206788,89.71019799999998,57.333811,14.408450000000002,18.166006,13.514807,46.617996,57.429975000000006,56.241917
26689,MSTRG.463,0.22741999999999998,0.531224,0.190359,0.14599,0.261509,0.283906,0.105259,0.174754,0.12800999999999998,1251.917715,1373.499212,971.158587,0.252576,0.0,0.108394
26690,MSTRG.4630,2.067183,2.515747,2.426214,2.597664,1.7026009999999998,1.7880909999999999,0.63841,0.815477,0.418898,0.0,0.070577,0.0,4.4898620000000005,5.506314,5.331087
